,COMPNOS,INCIDENT_TYPE_DESCRIPTION,FROMDATE,Year,Month,DAY_WEEK,STREETNAME,Location
142,120420411.0,InvPer,07/08/2012 08:49:00 PM,2012,7,Sunday,YARMOUTH PL,"(42.34622134, -71.07688955)"
143,120420433.0,OTHER LARCENY,07/08/2012 08:55:00 PM,2012,7,Sunday,WALDEMAR AV,"(42.39329401, -71.0086428)"
144,120420920.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 09:00:00 PM,2012,7,Sunday,NEWBURY ST,"(42.34803635, -71.09419955)"
145,120423937.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 09:00:00 PM,2012,7,Sunday,BEACON ST,"(42.35801134, -71.06055956)"
146,120421238.0,VANDALISM,07/08/2012 09:00:00 PM,2012,7,Sunday,ELMHURST ST,"(42.28903136, -71.07658455)"
147,120421153.0,VANDALISM,07/08/2012 09:00:00 PM,2012,7,Sunday,MEDFORD ST,"(42.37846134, -71.05307957)"
148,120421824.0,VAL,07/08/2012 09:00:00 PM,2012,7,Sunday,CAWFIELD ST,"(42.31991504, -71.06370653)"
149,120421333.0,AUTO THEFT,07/08/2012 09:00:00 PM,2012,7,Sunday,WINTHROP ST,"(42.32422656, -71.07757817)"
150,120420481.0,SIMPLE ASSAULT,07/08/2012 09:05:00 PM,2012,7,Sunday,DUDLEY ST,"(42.32792506, -71.07770104)"
151,120420480.0,VAL,07/08/2012 09:11:00 PM,2012,7,Sunday,SEAVER ST,"(42.30607288, -71.08626837)"
152,120420531.0,SIMPLE ASSAULT,07/08/2012 09:15:00 PM,2012,7,Sunday,WASHINGTON ST,"(42.3286598, -71.08561842)"
153,120420460.0,AGGRAVATED ASSAULT,07/08/2012 09:24:00 PM,2012,7,Sunday,TREMONT ST,"(42.35120135, -71.17311952)"
154,120420604.0,PhoneCalls,07/08/2012 09:30:00 PM,2012,7,Sunday,SPRING ST,"(42.27792715, -71.16123525)"
155,120420746.0,PropLost,07/08/2012 09:30:00 PM,2012,7,Sunday,WESTERN AV,"(42.36267692, -71.13915468)"
156,120420557.0,AGGRAVATED ASSAULT,07/08/2012 09:38:00 PM,2012,7,Sunday,NORFOLK ST,"(42.28820136, -71.07680956)"
157,120421102.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 09:40:00 PM,2012,7,Sunday,CENTRAL SQ,"(42.37468775, -71.03891217)"
158,120420862.0,AUTO THEFT,07/08/2012 09:45:00 PM,2012,7,Sunday,TENNIS RD,"(42.27590186, -71.09503423)"
159,120420603.0,InvPer,07/08/2012 09:57:00 PM,2012,7,Sunday,CENTRE ST,"(42.32275156, -71.10004452)"
160,120421445.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 10:00:00 PM,2012,7,Sunday,GROVE ST,"(42.26474137, -71.15819954)"
161,120421690.0,InvPer,07/08/2012 10:00:00 PM,2012,7,Sunday,SARATOGA ST,"(42.38572059, -71.00413007)"
162,120421539.0,VANDALISM,07/08/2012 10:00:00 PM,2012,7,Sunday,TORREY ST,"(42.28758136, -71.07167456)"
