ObjectID,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
134,120420287,Service,435,7/8/12 19:49,2012,7,Sunday,770799.5613,2929948.413,PEACEVALE RD,"(42.28714636, -71.07634955)"
135,120420311,MedAssist,472,7/8/12 19:51,2012,7,Sunday,765730.7982,2925525.216,ALMONT ST,"(42.27507636, -71.09515955)"
136,120420273,MedAssist,255,7/8/12 20:00,2012,7,Sunday,775434.7647,2938579.604,ROACH ST,"(42.31076635, -71.05905456)"
137,120421273,VANDALISM,226,7/8/12 20:00,2012,7,Sunday,780558.4608,2947484.094,I ST,"(42.33512635, -71.03993457)"
138,120420339,VAL,0,7/8/12 20:04,2012,7,Sunday,768218.0809,2945064.255,WASHINGTON ST,"(42.3286598, -71.08561842)"
139,120420348,InvPer,914,7/8/12 20:07,2012,7,Sunday,776415.2056,2944969.124,LOGAN WY,"(42.32828549, -71.05530669)"
141,120420378,ROBBERY,315,7/8/12 20:20,2012,7,Sunday,768787.1681,2939488.235,WARREN ST,"(42.31335135, -71.08361455)"
142,120420411,InvPer,0,7/8/12 20:49,2012,7,Sunday,770546.6563,2951475.586,YARMOUTH PL,"(42.34622134, -71.07688955)"
143,120420433,OTHER LARCENY,942,7/8/12 20:55,2012,7,Sunday,788896.8788,2968728.664,WALDEMAR AV,"(42.39329401, -71.0086428)"
144,120420920,LARCENY FROM MOTOR VEHICLE,621,7/8/12 21:00,2012,7,Sunday,765864.1122,2952114.271,NEWBURY ST,"(42.34803635, -71.09419955)"
145,120423937,LARCENY FROM MOTOR VEHICLE,102,7/8/12 21:00,2012,7,Sunday,774938.9911,2955794.405,BEACON ST,"(42.35801134, -71.06055956)"
146,120421238,VANDALISM,437,7/8/12 21:00,2012,7,Sunday,770732.5638,2930635.018,ELMHURST ST,"(42.28903136, -71.07658455)"
147,120421153,VANDALISM,42,7/8/12 21:00,2012,7,Sunday,776921.6238,2963257.297,MEDFORD ST,"(42.37846134, -71.05307957)"
148,120421824,VAL,237,7/8/12 21:00,2012,7,Sunday,774159.445,2941907.062,CAWFIELD ST,"(42.31991504, -71.06370653)"
149,120421333,AUTO THEFT,266,7/8/12 21:00,2012,7,Sunday,770400.1993,2943459.37,WINTHROP ST,"(42.32422656, -71.07757817)"
150,120420481,SIMPLE ASSAULT,268,7/8/12 21:05,2012,7,Sunday,770360.3001,2944807.002,DUDLEY ST,"(42.32792506, -71.07770104)"
151,120420480,VAL,319,7/8/12 21:11,2012,7,Sunday,768082.2584,2936832.35,SEAVER ST,"(42.30607288, -71.08626837)"
152,120420531,SIMPLE ASSAULT,282,7/8/12 21:15,2012,7,Sunday,768218.0809,2945064.255,WASHINGTON ST,"(42.3286598, -71.08561842)"
153,120420460,AGGRAVATED ASSAULT,755,7/8/12 21:24,2012,7,Sunday,744525.8777,2953176.035,TREMONT ST,"(42.35120135, -71.17311952)"
154,120420604,PhoneCalls,720,7/8/12 21:30,2012,7,Sunday,747844.3566,2926486.139,SPRING ST,"(42.27792715, -71.16123525)"
155,120420746,PropLost,807,7/8/12 21:30,2012,7,Sunday,753689.1848,2957394.985,WESTERN AV,"(42.36267692, -71.13915468)"
156,120420557,AGGRAVATED ASSAULT,435,7/8/12 21:38,2012,7,Sunday,770673.1852,2930332.251,NORFOLK ST,"(42.28820136, -71.07680956)"
157,120421102,LARCENY FROM MOTOR VEHICLE,26,7/8/12 21:40,2012,7,Sunday,780756.9565,2961902.499,CENTRAL SQ,"(42.37468775, -71.03891217)"
158,120420862,AUTO THEFT,469,7/8/12 21:45,2012,7,Sunday,765763.285,2925826.202,TENNIS RD,"(42.27590186, -71.09503423)"
159,120420603,InvPer,912,7/8/12 21:57,2012,7,Sunday,764327.298,2942892.567,CENTRE ST,"(42.32275156, -71.10004452)"
160,120421445,LARCENY FROM MOTOR VEHICLE,710,7/8/12 22:00,2012,7,Sunday,748685.1434,2921684.321,GROVE ST,"(42.26474137, -71.15819954)"
161,120421690,InvPer,6,7/8/12 22:00,2012,7,Sunday,790131.9348,2965975.807,SARATOGA ST,"(42.38572059, -71.00413007)"
162,120421539,VANDALISM,435,7/8/12 22:00,2012,7,Sunday,772063.7304,2930113.25,TORREY ST,"(42.28758136, -71.07167456)"
163,120421923,FRAUD,193,7/8/12 22:00,2012,7,Sunday,776855.6936,2945580.857,VINTON ST,"(42.32995779, -71.0536659)"
164,120426307,PhoneCalls,258,7/8/12 22:00,2012,7,Sunday,772831.4244,2940580.485,MONADNOCK ST,"(42.31629339, -71.06864178)"
165,120421875,VANDALISM,911,7/8/12 22:00,2012,7,Sunday,766171.5677,2946880.742,ALBERT ST,"(42.33367135, -71.09315455)"
166,120420631,AGGRAVATED ASSAULT,435,7/8/12 22:05,2012,7,Sunday,770602.2625,2929901.88,WHITMAN ST,"(42.28702136, -71.07707955)"
