,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
139,120420348.0,InvPer,914,07/08/2012 08:07:00 PM,2012,7,Sunday,776415.2056,2944969.124,LOGAN WY,"(42.32828549, -71.05530669)"
141,120420378.0,ROBBERY,315,07/08/2012 08:20:00 PM,2012,7,Sunday,768787.1681,2939488.235,WARREN ST,"(42.31335135, -71.08361455)"
142,120420411.0,InvPer,0,07/08/2012 08:49:00 PM,2012,7,Sunday,770546.6563,2951475.586,YARMOUTH PL,"(42.34622134, -71.07688955)"
143,120420433.0,OTHER LARCENY,942,07/08/2012 08:55:00 PM,2012,7,Sunday,788896.8788,2968728.664,WALDEMAR AV,"(42.39329401, -71.0086428)"
144,120420920.0,LARCENY FROM MOTOR VEHICLE,621,07/08/2012 09:00:00 PM,2012,7,Sunday,765864.1122,2952114.271,NEWBURY ST,"(42.34803635, -71.09419955)"
145,120423937.0,LARCENY FROM MOTOR VEHICLE,102,07/08/2012 09:00:00 PM,2012,7,Sunday,774938.9911,2955794.405,BEACON ST,"(42.35801134, -71.06055956)"
146,120421238.0,VANDALISM,437,07/08/2012 09:00:00 PM,2012,7,Sunday,770732.5638,2930635.018,ELMHURST ST,"(42.28903136, -71.07658455)"
147,120421153.0,VANDALISM,42,07/08/2012 09:00:00 PM,2012,7,Sunday,776921.6238,2963257.297,MEDFORD ST,"(42.37846134, -71.05307957)"
148,120421824.0,VAL,237,07/08/2012 09:00:00 PM,2012,7,Sunday,774159.445,2941907.062,CAWFIELD ST,"(42.31991504, -71.06370653)"
149,120421333.0,AUTO THEFT,266,07/08/2012 09:00:00 PM,2012,7,Sunday,770400.1993,2943459.37,WINTHROP ST,"(42.32422656, -71.07757817)"
150,120420481.0,SIMPLE ASSAULT,268,07/08/2012 09:05:00 PM,2012,7,Sunday,770360.3001,2944807.002,DUDLEY ST,"(42.32792506, -71.07770104)"
151,120420480.0,VAL,319,07/08/2012 09:11:00 PM,2012,7,Sunday,768082.2584,2936832.35,SEAVER ST,"(42.30607288, -71.08626837)"
152,120420531.0,SIMPLE ASSAULT,282,07/08/2012 09:15:00 PM,2012,7,Sunday,768218.0809,2945064.255,WASHINGTON ST,"(42.3286598, -71.08561842)"
153,120420460.0,AGGRAVATED ASSAULT,755,07/08/2012 09:24:00 PM,2012,7,Sunday,744525.8777,2953176.035,TREMONT ST,"(42.35120135, -71.17311952)"
154,120420604.0,PhoneCalls,720,07/08/2012 09:30:00 PM,2012,7,Sunday,747844.3566,2926486.139,SPRING ST,"(42.27792715, -71.16123525)"
155,120420746.0,PropLost,807,07/08/2012 09:30:00 PM,2012,7,Sunday,753689.1848,2957394.985,WESTERN AV,"(42.36267692, -71.13915468)"
156,120420557.0,AGGRAVATED ASSAULT,435,07/08/2012 09:38:00 PM,2012,7,Sunday,770673.1852,2930332.251,NORFOLK ST,"(42.28820136, -71.07680956)"
157,120421102.0,LARCENY FROM MOTOR VEHICLE,26,07/08/2012 09:40:00 PM,2012,7,Sunday,780756.9565,2961902.499,CENTRAL SQ,"(42.37468775, -71.03891217)"
158,120420862.0,AUTO THEFT,469,07/08/2012 09:45:00 PM,2012,7,Sunday,765763.285,2925826.202,TENNIS RD,"(42.27590186, -71.09503423)"
159,120420603.0,InvPer,912,07/08/2012 09:57:00 PM,2012,7,Sunday,764327.298,2942892.567,CENTRE ST,"(42.32275156, -71.10004452)"
160,120421445.0,LARCENY FROM MOTOR VEHICLE,710,07/08/2012 10:00:00 PM,2012,7,Sunday,748685.1434,2921684.3210000005,GROVE ST,"(42.26474137, -71.15819954)"
161,120421690.0,InvPer,6,07/08/2012 10:00:00 PM,2012,7,Sunday,790131.9348,2965975.807,SARATOGA ST,"(42.38572059, -71.00413007)"
162,120421539.0,VANDALISM,435,07/08/2012 10:00:00 PM,2012,7,Sunday,772063.7304,2930113.25,TORREY ST,"(42.28758136, -71.07167456)"
163,120421923.0,FRAUD,193,07/08/2012 10:00:00 PM,2012,7,Sunday,776855.6936,2945580.857,VINTON ST,"(42.32995779, -71.0536659)"
164,120426307.0,PhoneCalls,258,07/08/2012 10:00:00 PM,2012,7,Sunday,772831.4244,2940580.485,MONADNOCK ST,"(42.31629339, -71.06864178)"
165,120421875.0,VANDALISM,911,07/08/2012 10:00:00 PM,2012,7,Sunday,766171.5677,2946880.742,ALBERT ST,"(42.33367135, -71.09315455)"
166,120420631.0,AGGRAVATED ASSAULT,435,07/08/2012 10:05:00 PM,2012,7,Sunday,770602.2625,2929901.88,WHITMAN ST,"(42.28702136, -71.07707955)"
